uid,prize
1124087,folder
224500,badge
1054480,score_5000
651587,mcbbs
272728,folder
742277,score_5000
1199077,score_5000
367428,postcard
1148010,postcard
672710,score_5000
802854,creeper
1040832,mcbbs
341265,skin
130607,mcbbs
1028052,facemask
952326,badge
809250,postcard
478669,score_5000
1196968,score_5000
647957,score_5000
1018100,tnt
1176154,badge
378135,score_5000
1027839,mcbbs
389089,score_5000
64003,facemask
953608,mcbbs
348439,score_5000
669511,facemask
1191975,folder
